date,d_limp,d_sujo
2021-07-20,3555,3555
2021-07-21,4254,4254
2021-07-22,5056,5056
2021-07-23,5142,5142
2021-07-24,5138,5138
2021-07-25,4742,4742
2021-07-26,3115,3115
2021-07-27,4516,4516
2021-07-28,5693,5693
2021-07-29,6167,6167
2021-07-30,6613,6613
2021-07-31,6509,6509
2021-08-01,5320,5320
2021-08-02,3185,3185
2021-08-03,4841,4841
2021-08-04,6590,6590
2021-08-05,7224,7224
2021-08-06,6599,6599
2021-08-07,6897,6897
2021-08-08,5733,5733
2021-08-09,4200,4200
2021-08-10,5624,5624
2021-08-11,6921,6921
2021-08-12,7267,7267
2021-08-13,7398,7398
2021-08-14,7181,7181
2021-08-15,5661,5661
2021-08-16,3669,3669
2021-08-17,5268,5268
2021-08-18,7159,7159
2021-08-19,7240,7240
2021-08-20,7220,7220
2021-08-21,7466,7466
2021-08-22,5922,5922
2021-08-23,4166,4166
2021-08-24,6078,6078
2021-08-25,7539,7539
2021-08-26,7215,7215
2021-08-27,7823,7823
2021-08-28,6858,6858
2021-08-29,5954,5954
2021-08-30,4253,4253
2021-08-31,5492,5492
2021-09-01,6496,6496
2021-09-02,6754,6754
2021-09-03,6729,6729
2021-09-04,6156,6156
2021-09-05,5314,5314
2021-09-06,3347,3347
2021-09-07,4715,4715
2021-09-08,5921,5921
2021-09-09,5518,5518
2021-09-10,5617,5617
2021-09-11,5191,5191
2021-09-12,4664,4664
2021-09-13,2792,2792
2021-09-14,4009,4009
2021-09-15,4826,4826
2021-09-16,5115,5115
2021-09-17,4544,4544
2021-09-18,4576,4576
2021-09-19,3836,3836
2021-09-20,2405,2405
2021-09-21,3374,3374
2021-09-22,3963,3963
2021-09-23,4053,4053
2021-09-24,3790,3790
2021-09-25,3519,3519
2021-09-26,3099,3099
2021-09-27,1773,1773
2021-09-28,2962,2962
2021-09-29,3212,3212
2021-09-30,4094,4094
2021-10-01,3403,3403
2021-10-02,3309,3309
2021-10-03,2967,2967
2021-10-04,1612,1612
2021-10-05,2463,2463
2021-10-06,3232,3232
2021-10-07,2933,2933
2021-10-08,3017,3017
2021-10-09,2747,2747
2021-10-10,2278,2278
2021-10-11,1516,1516
2021-10-12,2486,2486
2021-10-13,2769,2769
2021-10-14,2666,2666
2021-10-15,2729,2729
2021-10-16,2982,2982
2021-10-17,2435,2435
2021-10-18,1594,1594
2021-10-19,2695,2695
2021-10-20,3699,3699
2021-10-21,3791,3791
2021-10-22,3879,3879
2021-10-23,3905,3905
2021-10-24,3723,3723
2021-10-25,2535,2535
2021-10-26,4053,4053
2021-10-27,4595,4595
2021-10-28,4863,4863
2021-10-29,5332,5332
2021-10-30,4877,4877
2021-10-31,4525,4525
2021-11-01,2818,2818
2021-11-02,2831,2831
2021-11-03,5188,5188
2021-11-04,5902,5902
2021-11-05,6761,6761
2021-11-06,6760,6760
2021-11-07,5822,5822
2021-11-08,4547,4547
2021-11-09,6111,6111
2021-11-10,8033,8033
2021-11-11,8697,8697
2021-11-12,8522,8522
2021-11-13,8539,8539
2021-11-14,7565,7565
2021-11-15,5199,5199
2021-11-16,7815,7815
2021-11-17,10167,10167
2021-11-18,10645,10645
2021-11-19,10554,10554
2021-11-20,11540,11540
2021-11-21,9707,9707
2021-11-22,6403,6403
2021-11-23,10044,10044
2021-11-24,12450,12450
2021-11-25,13756,13756
2021-11-26,13681,13681
2021-11-27,12869,12869
2021-11-28,12927,12927
2021-11-29,7972,7972
2021-11-30,12757,12757
2021-12-01,15073,15073
2021-12-02,16810,16810
2021-12-03,17015,17015
2021-12-04,16627,16627
2021-12-05,15010,15010
2021-12-06,9494,9494
2021-12-07,15742,15742
2021-12-08,17946,17946
2021-12-09,12516,12516
2021-12-10,20490,20490
2021-12-11,21035,21035
2021-12-12,19212,19212
2021-12-13,12704,12704
2021-12-14,20665,20665
2021-12-15,23190,23190
2021-12-16,26104,26104
2021-12-17,28615,28615
2021-12-18,28057,28057
2021-12-19,24303,24303
2021-12-20,16205,16205
2021-12-21,30783,30783
2021-12-22,36326,36326
2021-12-23,44585,44585
2021-12-24,50590,50590
2021-12-25,54787,54787
2021-12-26,24882,24882
2021-12-27,30799,30799
2021-12-28,78300,78300
2021-12-29,98016,98016
2021-12-30,127000,127000
2021-12-31,144255,144255
2022-01-01,141256,141256
2022-01-02,61137,61137
2022-01-03,68034,68034
2022-01-04,170837,170837
2022-01-05,189088,189088
2022-01-06,219430,219430
2022-01-07,108297,108297
2022-01-08,197535,197535
2022-01-09,155642,155642
2022-01-10,117405,117405
2022-01-11,220519,220519
2022-01-12,196205,196205
2022-01-13,184577,184577
2022-01-14,200869,200869
2022-01-15,192936,192936
2022-01-16,157465,157465
2022-01-17,83387,83387
2022-01-18,228123,228123
2022-01-19,200966,200966
2022-01-20,198865,198865
2022-01-21,185600,185600
2022-01-22,177335,177335
2022-01-23,142487,142487
2022-01-24,77666,77666
2022-01-25,211277,211277
2022-01-26,170940,170940
2022-01-27,156040,156040
2022-01-28,144347,144347
2022-01-29,137427,137427
2022-01-30,104110,104110
2022-01-31,57631,57631
2022-02-01,133306,133306
2022-02-02,119323,119323
2022-02-03,112956,112956
2022-02-04,100900,100900
2022-02-05,93192,93192
2022-02-06,78943,78943
2022-02-07,41602,41602
2022-02-08,102429,102429
2022-02-09,81669,81669
2022-02-10,76195,76195
2022-02-11,67478,67478
2022-02-12,62221,62221
2022-02-13,52345,52345
2022-02-14,28776,28776
2022-02-15,71023,71023
2022-02-16,59869,59869
2022-02-17,58055,58055
2022-02-18,53700,53700
2022-02-19,50675,50675
2022-02-20,42202,42202
2022-02-21,24484,24484
2022-02-22,60137,60137
2022-02-23,49162,49162
2022-02-24,47493,47493
2022-02-25,42069,42069
2022-02-26,39360,39360
2022-02-27,31878,31878
2022-02-28,18278,18278
2022-03-01,47136,47136
2022-03-02,37946,37946
2022-03-03,42588,42588
2022-03-04,38353,38353
2022-03-05,41364,41364
2022-03-06,35889,35889
2022-03-07,22662,22662
2022-03-08,60753,60753
2022-03-09,49815,49815
2022-03-10,55156,55156
2022-03-11,53961,53961
2022-03-12,54720,54720
2022-03-13,50028,50028
2022-03-14,29698,29698
2022-03-15,86414,86414
2022-03-16,74147,74147
2022-03-17,82368,82368
2022-03-18,78577,78577
2022-03-19,75768,75768
2022-03-20,61564,61564
2022-03-21,33445,33445
2022-03-22,96904,96904
2022-03-23,78358,78358
2022-03-24,82648,82648
2022-03-25,76397,76397
2022-03-26,74616,74616
2022-03-27,60612,60612
2022-03-28,31560,31560
2022-03-29,100296,100296
2022-03-30,71411,71411
2022-03-31,74364,74364
2022-04-01,77040,77040
2022-04-02,71412,71412
2022-04-03,55009,55009
2022-04-04,31329,31329
2022-04-05,88914,88914
2022-04-06,69885,69885
2022-04-07,70123,70123
2022-04-08,67641,67641
2022-04-09,64421,64421
2022-04-10,53920,53920
2022-04-11,28705,28705
2022-04-12,84056,84056
2022-04-13,62586,62586
2022-04-14,65617,65617
2022-04-15,62290,62290
2022-04-16,64533,64533
2022-04-17,52253,52253
2022-04-18,18588,18588
2022-04-19,27326,27326
2022-04-20,100440,100440
2022-04-21,75995,75995
2022-04-22,73744,73744
2022-04-23,71028,71028
2022-04-24,56848,56848
2022-04-25,25282,25282
2022-04-26,29984,29984
2022-04-27,88431,88431
2022-04-28,70034,70034
2022-04-29,59395,59395
2022-04-30,54017,54017
2022-05-01,41591,41591
2022-05-02,19068,19068
2022-05-03,62409,62409
2022-05-04,47643,47643
2022-05-05,48715,48715
2022-05-06,44364,44364
2022-05-07,40783,40783
2022-05-08,31225,31225
2022-05-09,17421,17421
2022-05-10,56199,56199
2022-05-11,42683,42683
2022-05-12,39483,39483
2022-05-13,39029,39029
2022-05-14,36334,36334
2022-05-15,27726,27726
2022-05-16,13776,13776
2022-05-17,44901,44901
2022-05-18,30927,30927
2022-05-19,30722,30722
2022-05-20,26818,26818
2022-05-21,24246,24246
2022-05-22,18289,18289
2022-05-23,10021,10021
2022-05-24,30714,30714
2022-05-25,24145,24145
2022-05-26,20867,20867
2022-05-27,21820,21820
2022-05-28,18622,18622
2022-05-29,15136,15136
2022-05-30,7846,7846
2022-05-31,24687,24687
2022-06-01,18822,18822
2022-06-02,17718,17718
2022-06-03,9692,9692
2022-06-04,22809,22809
2022-06-05,15522,15522
2022-06-06,8616,8616
2022-06-07,28547,28547
2022-06-08,22925,22925
2022-06-09,23534,23534
2022-06-10,22012,22012
2022-06-11,22458,22458
2022-06-12,19310,19310
2022-06-13,10668,10668
2022-06-14,39844,39844
2022-06-15,32809,32809
2022-06-16,37068,37068
2022-06-17,36170,36170
2022-06-18,34971,34971
2022-06-19,34255,34255
2022-06-20,16905,16905
2022-06-21,63264,63264
2022-06-22,54873,54873
2022-06-23,57432,57432
2022-06-24,56410,56410
2022-06-25,56873,56873
2022-06-26,49325,49325
2022-06-27,25019,25019
2022-06-28,84161,84161
2022-06-29,95455,95455
2022-06-30,84234,84234
2022-07-01,86900,86900
2022-07-02,85943,85943
2022-07-03,72917,72917
2022-07-04,36885,36885
2022-07-05,133015,133015
2022-07-06,110017,110017
2022-07-07,108386,108386
2022-07-08,101863,101863
2022-07-09,98901,98901
2022-07-10,81563,81563
2022-07-11,83761,83761
2022-07-12,144058,144058
2022-07-13,111591,111591
2022-07-14,108632,108632
2022-07-15,97936,97936
2022-07-16,91384,91384
2022-07-17,68996,68996
2022-07-18,32051,32051
2022-07-19,121103,121103
2022-07-20,86801,86801
2022-07-21,81535,81535
2022-07-22,71667,71667
2022-07-23,69174,69174
2022-07-24,51875,51875
2022-07-25,24117,24117
2022-07-26,88651,88651
2022-07-27,64400,64400
2022-07-28,60826,60826
2022-07-29,54417,54417
2022-07-30,50297,50297
2022-07-31,37252,37252
2022-08-01,19520,19520
2022-08-02,65099,65099
2022-08-03,45956,45956
2022-08-04,42959,42959
2022-08-05,38215,38215
2022-08-06,34997,34997
2022-08-07,26656,26656
2022-08-08,11975,11975
2022-08-09,43078,43078
2022-08-10,31699,31699
2022-08-11,28423,28423
2022-08-12,26689,26689
2022-08-13,24785,24785
2022-08-14,19455,19455
2022-08-15,9893,9893
2022-08-16,8941,8941
2022-08-17,36261,36261
2022-08-18,27291,27291
2022-08-19,24689,24689
2022-08-20,24392,24392
2022-08-21,19470,19470
2022-08-22,10417,10417
2022-08-23,35357,35357
2022-08-24,25388,25388
2022-08-25,23435,23435
2022-08-26,21995,21995
2022-08-27,21802,21802
2022-08-28,17647,17647
2022-08-29,8347,8347
2022-08-30,31087,31087
2022-08-31,21814,21814
2022-09-01,20498,20498
2022-09-02,19158,19158
2022-09-03,17660,17660
2022-09-04,13196,13196
2022-09-05,6608,6608
2022-09-06,24848,24848
2022-09-07,17570,17570
2022-09-08,17317,17317
2022-09-09,15542,15542
2022-09-10,15137,15137
2022-09-11,11901,11901
