date,South_Africa_s,South_Africa
2021-07-24,12056,12056
2021-07-25,9718,9718
2021-07-26,5667,5667
2021-07-27,7733,7733
2021-07-28,17302,17302
2021-07-29,13626,13626
2021-07-30,12885,12885
2021-07-31,12418,12418
2021-08-01,8730,8730
2021-08-02,5574,5574
2021-08-03,8988,8988
2021-08-04,13263,13263
2021-08-05,13646,13646
2021-08-06,13523,13523
2021-08-07,12310,12310
2021-08-08,9978,9978
2021-08-09,6756,6756
2021-08-10,6540,6540
2021-08-11,7478,7478
2021-08-12,14271,14271
2021-08-13,13916,13916
2021-08-14,13020,13020
2021-08-15,10139,10139
2021-08-16,7983,7983
2021-08-17,10685,10685
2021-08-18,14727,14727
2021-08-19,13671,13671
2021-08-20,14312,14312
2021-08-21,13261,13261
2021-08-22,10748,10748
2021-08-23,7632,7632
2021-08-24,10346,10346
2021-08-25,13251,13251
2021-08-26,12771,12771
2021-08-27,12045,12045
2021-08-28,10173,10173
2021-08-29,7740,7740
2021-08-30,5644,5644
2021-08-31,7084,7084
2021-09-01,9544,9544
2021-09-02,9202,9202
2021-09-03,9199,9199
2021-09-04,8410,8410
2021-09-05,5931,5931
2021-09-06,4118,4118
2021-09-07,5771,5771
2021-09-08,6939,6939
2021-09-09,6269,6269
2021-09-10,5883,5883
2021-09-11,5309,5309
2021-09-12,3961,3961
2021-09-13,2640,2640
2021-09-14,3699,3699
2021-09-15,4667,4667
2021-09-16,4214,4214
2021-09-17,3648,3648
2021-09-18,3286,3286
2021-09-19,2281,2281
2021-09-20,1504,1504
2021-09-21,2197,2197
2021-09-22,2967,2967
2021-09-23,2783,2783
2021-09-24,2261,2261
2021-09-25,1634,1634
2021-09-26,967,967
2021-09-27,578,578
2021-09-28,1367,1367
2021-09-29,0,0
2021-09-30,3784,3784
2021-10-01,1635,1635
2021-10-02,1306,1306
2021-10-03,809,809
2021-10-04,429,429
2021-10-05,768,768
2021-10-06,1149,1149
2021-10-07,989,989
2021-10-08,924,924
2021-10-09,816,816
2021-10-10,648,648
2021-10-11,201,201
2021-10-12,592,592
2021-10-13,942,942
2021-10-14,947,947
2021-10-15,733,733
2021-10-16,619,619
2021-10-17,414,414
2021-10-18,210,210
2021-10-19,452,452
2021-10-20,591,591
2021-10-21,520,520
2021-10-22,517,517
2021-10-23,449,449
2021-10-24,300,300
2021-10-25,146,146
2021-10-26,331,331
2021-10-27,472,472
2021-10-28,533,533
2021-10-29,475,475
2021-10-30,297,297
2021-10-31,230,230
2021-11-01,106,106
2021-11-02,169,169
2021-11-03,344,344
2021-11-04,319,319
2021-11-05,339,339
2021-11-06,358,358
2021-11-07,205,205
2021-11-08,116,116
2021-11-09,245,245
2021-11-10,305,305
2021-11-11,356,356
2021-11-12,393,393
2021-11-13,306,306
2021-11-14,262,262
2021-11-15,136,136
2021-11-16,273,273
2021-11-17,566,566
2021-11-18,585,585
2021-11-19,789,789
2021-11-20,887,887
2021-11-21,687,687
2021-11-22,312,312
2021-11-23,,
2021-11-24,1275,1275
2021-11-25,2465,2465
2021-11-26,2828,2828
2021-11-27,3220,3220
2021-11-28,2858,2858
2021-11-29,2273,2273
2021-11-30,4373,4373
2021-12-01,8561,8561
2021-12-02,11535,11535
2021-12-03,16055,16055
2021-12-04,16366,16366
2021-12-05,11125,11125
2021-12-06,6381,6381
2021-12-07,13147,13147
2021-12-08,19842,19842
2021-12-09,22388,22388
2021-12-10,19017,19017
2021-12-11,17153,17153
2021-12-12,37875,37875
2021-12-13,13288,13288
2021-12-14,23857,23857
2021-12-15,26389,26389
2021-12-16,24785,24785
2021-12-17,20713,20713
2021-12-18,16080,16080
2021-12-19,15465,15465
2021-12-20,8511,8511
2021-12-21,15423,15423
2021-12-22,21098,21098
2021-12-23,21156,21156
2021-12-24,18847,18847
2021-12-25,14828,14828
2021-12-26,5603,5603
2021-12-27,3778,3778
2021-12-28,7216,7216
2021-12-29,9020,9020
2021-12-30,12978,12978
2021-12-31,11754,11754
2022-01-01,9793,9793
2022-01-02,4357,4357
2022-01-03,3076,3076
2022-01-04,8078,8078
2022-01-05,11106,11106
2022-01-06,9858,9858
2022-01-07,9259,9259
2022-01-08,7759,7759
2022-01-09,4482,4482
2022-01-10,2409,2409
2022-01-11,5668,5668
2022-01-12,6760,6760
2022-01-13,5917,5917
2022-01-14,5235,5235
2022-01-15,4590,4590
2022-01-16,2659,2659
2022-01-17,1629,1629
2022-01-18,3657,3657
2022-01-19,0,0
2022-01-20,8282,8282
2022-01-21,3519,3519
2022-01-22,3049,3049
2022-01-23,1931,1931
2022-01-24,1332,1332
2022-01-25,3197,3197
2022-01-26,4511,4511
2022-01-27,4100,4100
2022-01-28,3789,3789
2022-01-29,3342,3342
2022-01-30,2226,2226
2022-01-31,1366,1366
2022-02-01,3085,3085
2022-02-02,4502,4502
2022-02-03,3266,3266
2022-02-04,0,0
2022-02-05,6135,6135
2022-02-06,1752,1752
2022-02-07,1228,1228
2022-02-08,824,824
2022-02-09,5628,5628
2022-02-10,3169,3169
2022-02-11,2862,2862
2022-02-12,2489,2489
2022-02-13,1649,1649
2022-02-14,1094,1094
2022-02-15,2364,2364
2022-02-16,3699,3699
2022-02-17,3056,3056
2022-02-18,2800,2800
2022-02-19,2267,2267
2022-02-20,1456,1456
2022-02-21,1151,1151
2022-02-22,2334,2334
2022-02-23,3117,3117
2022-02-24,2411,2411
2022-02-25,2111,2111
2022-02-26,2320,2320
2022-02-27,1266,1266
2022-02-28,785,785
2022-03-01,1649,1649
2022-03-02,1995,1995
2022-03-03,1853,1853
2022-03-04,1898,1898
2022-03-05,1735,1735
2022-03-06,1147,1147
2022-03-07,801,801
2022-03-08,1436,1436
2022-03-09,1867,1867
2022-03-10,1868,1868
2022-03-11,1671,1671
2022-03-12,1570,1570
2022-03-13,972,972
2022-03-14,671,671
2022-03-15,1648,1648
2022-03-16,1980,1980
2022-03-17,1681,1681
2022-03-18,1558,1558
2022-03-19,1287,1287
2022-03-20,889,889
2022-03-21,566,566
2022-03-22,912,912
2022-03-23,1393,1393
2022-03-24,2120,2120
2022-03-25,1557,1557
2022-03-26,1497,1497
2022-03-27,989,989
2022-03-28,581,581
2022-03-29,1557,1557
2022-03-30,1677,1677
2022-03-31,1886,1886
2022-04-01,0,0
2022-04-02,0,0
2022-04-03,4001,4001
2022-04-04,0,0
2022-04-05,2223,2223
2022-04-06,2031,2031
2022-04-07,1481,1481
2022-04-08,1377,1377
2022-04-09,1181,1181
2022-04-10,828,828
2022-04-11,553,553
2022-04-12,1291,1291
2022-04-13,1659,1659
2022-04-14,1768,1768
2022-04-15,1846,1846
2022-04-16,1206,1206
2022-04-17,832,832
2022-04-18,877,877
2022-04-19,1475,1475
2022-04-20,2842,2842
2022-04-21,4406,4406
2022-04-22,4629,4629
2022-04-23,4230,4230
2022-04-24,3222,3222
2022-04-25,1954,1954
2022-04-26,5062,5062
2022-04-27,6371,6371
2022-04-28,4146,4146
2022-04-29,4954,4954
2022-04-30,5727,5727
2022-05-01,4638,4638
2022-05-02,2650,2650
2022-05-03,3785,3785
2022-05-04,6170,6170
2022-05-05,9757,9757
2022-05-06,9253,9253
2022-05-07,8524,8524
2022-05-08,5486,5486
2022-05-09,3237,3237
2022-05-10,7523,7523
2022-05-11,10017,10017
2022-05-12,8920,8920
2022-05-13,8349,8349
2022-05-14,8015,8015
2022-05-15,4344,4344
2022-05-16,2952,2952
2022-05-17,5096,5096
2022-05-18,8179,8179
2022-05-19,0,0
2022-05-20,13613,13613
2022-05-21,5019,5019
2022-05-22,3220,3220
2022-05-23,1662,1662
2022-05-24,4227,4227
2022-05-25,5284,5284
2022-05-26,3800,3800
2022-05-27,3274,3274
2022-05-28,4074,4074
2022-05-29,1774,1774
2022-05-30,1004,1004
2022-05-31,2806,2806
2022-06-01,2647,2647
2022-06-02,2970,2970
2022-06-03,2028,2028
2022-06-04,1656,1656
2022-06-05,1127,1127
2022-06-06,0,0
2022-06-07,2788,2788
2022-06-08,2093,2093
2022-06-09,1976,1976
2022-06-10,1591,1591
2022-06-11,975,975
2022-06-12,962,962
2022-06-13,536,536
2022-06-14,710,710
2022-06-15,1903,1903
2022-06-16,1936,1936
2022-06-17,971,971
2022-06-18,0,0
2022-06-19,1955,1955
2022-06-20,291,291
2022-06-21,0,0
2022-06-22,2115,2115
2022-06-23,1050,1050
2022-06-24,946,946
2022-06-25,941,941
2022-06-26,505,505
2022-06-27,212,212
2022-06-28,343,343
2022-06-29,440,440
2022-06-30,0,0
2022-07-01,399,399
2022-07-02,380,380
2022-07-03,1068,1068
2022-07-04,0,0
2022-07-05,493,493
2022-07-06,0,0
2022-07-07,1120,1120
2022-07-08,365,365
2022-07-09,0,0
2022-07-10,0,0
2022-07-11,706,706
2022-07-12,0,0
2022-07-13,491,491
2022-07-14,0,0
2022-07-15,0,0
2022-07-16,1285,1285
2022-07-17,0,0
2022-07-18,0,0
2022-07-19,1143,1143
2022-07-20,550,550
2022-07-21,372,372
2022-07-22,317,317
2022-07-23,0,0
2022-07-24,0,0
2022-07-25,848,848
2022-07-26,0,0
2022-07-27,0,0
2022-07-28,1220,1220
2022-07-29,354,354
2022-07-30,0,0
2022-07-31,569,569
2022-08-01,0,0
2022-08-02,0,0
2022-08-03,0,0
2022-08-04,0,0
2022-08-05,0,0
2022-08-06,0,0
2022-08-07,1747,1747
2022-08-08,0,0
2022-08-09,45,45
2022-08-10,0,0
2022-08-11,164,164
2022-08-12,0,0
2022-08-13,845,845
2022-08-14,239,239
2022-08-15,279,279
2022-08-16,253,253
2022-08-17,292,292
2022-08-18,255,255
2022-08-19,266,266
2022-08-20,221,221
2022-08-21,0,0
2022-08-22,270,270
2022-08-23,207,207
2022-08-24,246,246
2022-08-25,299,299
2022-08-26,247,247
2022-08-27,211,211
2022-08-28,147,147
2022-08-29,74,74
2022-08-30,226,226
2022-08-31,280,280
2022-09-01,302,302
2022-09-02,246,246
2022-09-03,168,168
2022-09-04,159,159
2022-09-05,108,108
2022-09-06,0,0
2022-09-07,526,526
2022-09-08,275,275
2022-09-09,329,329
2022-09-10,227,227
2022-09-11,128,128
